step,sim_time,dt,max_speed,max_accel
1601,16.4449,0.00757055,116.104,4361.99
1605,16.4752,0.00757055,116.104,4361.99
1609,16.5049,0.00743277,112.297,4525.21
1613,16.5359,0.00774617,112.139,4166.45
1617,16.5667,0.00767848,110.173,4240.24
1621,16.5944,0.00667574,116.166,5609.72
1625,16.6221,0.00718591,116.276,4841.46
1629,16.6511,0.00729863,117.753,4693.07
1633,16.6811,0.00812048,113.59,3791.2
1637,16.7135,0.0079824,112.922,3923.49
1641,16.7454,0.0079824,112.922,3923.49
1645,16.7759,0.00762856,119.046,4295.9
1649,16.8073,0.00792352,120.32,3982.02
1653,16.8357,0.00683005,121.41,5359.1
1657,16.8669,0.00876964,117.359,3250.7
1661,16.902,0.00876794,111.599,3251.96
1665,16.9345,0.00789898,111.272,4006.8
1669,16.9652,0.00761228,111.017,4314.3
1673,16.9967,0.00811833,117.154,3793.2
1677,17.0285,0.00780703,115.305,4101.74
1681,17.0594,0.00742587,119.864,4533.63
1685,17.0891,0.00746295,117.77,4488.68
1689,17.119,0.00753532,113.272,4402.87
1693,17.1492,0.00753532,113.272,4402.87
1697,17.1814,0.0080577,117.818,3850.5
1701,17.2126,0.00780347,122.455,4105.48
1705,17.2446,0.00799818,129.065,3908.03
1709,17.2773,0.008169,127.313,3746.3
1713,17.3083,0.00774517,116.21,4167.52
1717,17.3356,0.00652486,114.763,5872.16
1721,17.3634,0.00737925,116.501,4591.09
1725,17.3937,0.00780367,113.711,4105.27
1729,17.4241,0.00739255,121.906,4574.58
1733,17.4537,0.00737996,121.21,4590.21
1737,17.4831,0.00729015,107.23,4704
1741,17.5123,0.00729015,107.23,4704
1745,17.5435,0.00780748,111.042,4101.27
1749,17.5719,0.00687292,107.35,5292.45
1753,17.5999,0.007015,107.471,5080.24
1757,17.6289,0.00749286,116.91,4452.92
1761,17.6593,0.00771536,106.691,4199.79
1765,17.6893,0.00683478,114.051,5351.7
1769,17.7166,0.00683478,114.051,5351.7
1773,17.7481,0.00786563,119.021,4040.85
1777,17.7794,0.00784178,115.365,4065.47
1781,17.8088,0.00734205,113.238,4637.73
1785,17.8352,0.00633367,118.185,6232.02
1789,17.8633,0.00775298,116.686,4159.13
1793,17.8952,0.00817681,125.698,3739.15
1797,17.9273,0.00754362,124.062,4393.2
1801,17.9573,0.0074009,136.813,4564.27
1805,17.9869,0.0074009,136.813,4564.27
1809,18.0203,0.00834474,135.995,3590.16
1813,18.0503,0.00749358,123.382,4452.06
1817,18.0801,0.00745269,132.392,4501.05
1821,18.1108,0.00777115,129.233,4139.7
1825,18.14,0.00713202,138.958,4914.9
1829,18.1686,0.00718042,131.476,4848.87
1833,18.1986,0.00780087,125.964,4108.22
1837,18.2297,0.00772847,129.935,4185.56
1841,18.2607,0.00778006,130.705,4130.22
1845,18.2909,0.00685033,141.178,5327.42
1849,18.3183,0.00685033,141.178,5327.42
1853,18.3464,0.00702521,144.866,5065.48
1857,18.3723,0.00630192,136.921,6294.99
1861,18.3998,0.00745043,154.709,4503.78
1865,18.4297,0.00751666,148.662,4424.76
1869,18.4597,0.00746686,147.032,4483.98
1873,18.4895,0.00737612,144.713,4594.99
1877,18.5185,0.00687175,144.453,5294.26
1881,18.546,0.00687175,144.453,5294.26
1885,18.5722,0.00656161,138.234,5806.56
1889,18.5989,0.00665984,143.898,5636.53
1893,18.6255,0.00665211,144.602,5649.65
