sim_time,front_x,Z,T
30.3404,104.512,4.32376,19.2998
30.4004,104.496,4.32343,19.338
30.4604,104.481,4.32313,19.3761
30.5204,104.768,4.32904,19.4143
30.5804,104.755,4.32878,19.4525
30.6404,104.746,4.32859,19.4906
30.7004,104.745,4.32856,19.5288
30.7604,104.747,4.32861,19.567
30.8204,104.751,4.32869,19.6051
30.8804,104.758,4.32884,19.6433
30.9404,104.768,4.32903,19.6815
31.0004,104.772,4.32913,19.7196
31.0604,104.774,4.32916,19.7578
31.1204,104.776,4.32921,19.796
31.1804,104.777,4.32923,19.8341
31.2404,104.774,4.32917,19.8723
31.3004,104.773,4.32914,19.9105
31.3604,104.775,4.32919,19.9486
31.4204,104.776,4.32921,19.9868
31.4804,104.776,4.32921,20.025
31.5404,104.779,4.32926,20.0631
31.6004,104.782,4.32933,20.1013
31.6604,104.783,4.32936,20.1395
31.7204,104.784,4.32936,20.1776
31.7804,104.785,4.32939,20.2158
31.8404,104.785,4.3294,20.254
31.9004,104.784,4.32937,20.2921
31.9604,104.781,4.32932,20.3303
32.0204,104.779,4.32927,20.3685
32.0804,104.776,4.32921,20.4066
32.1404,104.773,4.32914,20.4448
32.2004,104.77,4.32907,20.483
32.2604,104.768,4.32904,20.5211
32.3204,104.767,4.32902,20.5593
32.3804,104.767,4.32902,20.5975
32.4404,104.77,4.32907,20.6356
32.5004,104.776,4.3292,20.6738
32.5604,104.784,4.32938,20.712
32.6204,104.796,4.32961,20.7501
32.6804,104.809,4.32988,20.7883
32.7404,104.82,4.33011,20.8265
32.8004,104.535,4.32424,20.8646
32.8604,104.539,4.32433,20.9028
32.9204,104.54,4.32433,20.941
32.9804,104.536,4.32425,20.9791
33.0404,104.536,4.32425,21.0173
33.1004,104.538,4.3243,21.0555
33.1604,104.537,4.32427,21.0936
33.2204,104.532,4.32417,21.1318
33.2804,104.527,4.32406,21.17
33.3404,104.523,4.32398,21.2081
33.4004,104.527,4.32408,21.2463
33.4604,104.533,4.3242,21.2845
33.5204,104.54,4.32435,21.3226
33.5804,104.547,4.32448,21.3608
33.6404,104.551,4.32457,21.399
33.7004,104.564,4.32483,21.4371
33.7604,104.581,4.32518,21.4753
33.8204,104.598,4.32554,21.5135
33.8804,104.616,4.3259,21.5516
33.9404,104.632,4.32624,21.5898
34.0004,104.648,4.32657,21.628
34.0604,104.665,4.32692,21.6661
34.1204,104.684,4.32732,21.7043
34.1804,104.706,4.32777,21.7425
34.2404,104.731,4.32827,21.7806
34.3004,104.757,4.32881,21.8188
34.3604,104.783,4.32934,21.857
34.4204,104.788,4.32945,21.8951
34.4804,104.786,4.32941,21.9333
34.5404,104.787,4.32944,21.9715
34.6004,104.791,4.32951,22.0096
34.6604,104.795,4.3296,22.0478
34.7204,104.8,4.32971,22.086
34.7804,104.804,4.32979,22.1241
34.8404,104.806,4.32983,22.1623
34.9004,104.805,4.32981,22.2005
34.9604,104.801,4.32972,22.2386
35.0204,104.793,4.32955,22.2768
35.0804,104.837,4.33046,22.315
35.1404,104.771,4.3291,22.3531
35.2004,104.762,4.32891,22.3913
35.2604,104.754,4.32874,22.4295
35.3204,104.752,4.32872,22.4676
35.3804,104.874,4.33123,22.5058
35.4404,105,4.33383,22.544
35.5004,105.022,4.33429,22.5821
35.5604,105.016,4.33415,22.6203
35.6204,105.01,4.33404,22.6585
35.6804,105.001,4.33384,22.6966
35.7404,104.987,4.33355,22.7348
35.8004,104.975,4.3333,22.773
35.8604,104.969,4.33319,22.8111
35.9204,104.955,4.3329,22.8493
35.9804,104.937,4.33253,22.8875
36.0404,104.931,4.3324,22.9256
36.1004,104.928,4.33234,22.9638
36.1604,104.914,4.33205,23.002
36.2204,104.895,4.33166,23.0401
36.2804,104.883,4.33142,23.0783
36.3404,104.876,4.33127,23.1165
36.4004,104.866,4.33107,23.1546
36.4604,104.856,4.33085,23.1928
36.5204,104.848,4.33069,23.231
36.5804,104.84,4.33052,23.2691
36.6404,104.829,4.33029,23.3073
36.7004,104.821,4.33014,23.3455
36.7604,104.82,4.33012,23.3836
36.8204,104.823,4.33017,23.4218
36.8804,104.824,4.33019,23.46
36.9404,104.825,4.33022,23.4981
37.0004,104.829,4.3303,23.5363
37.0604,104.59,4.32536,23.5745
37.1204,104.615,4.32588,23.6126
37.1804,104.637,4.32633,23.6508
37.2404,104.657,4.32676,23.689
37.3004,104.679,4.3272,23.7271
37.3604,104.697,4.32757,23.7653
37.4204,104.705,4.32774,23.8035
37.4804,104.701,4.32766,23.8416
37.5404,104.688,4.3274,23.8798
37.6004,104.673,4.32707,23.918
37.6604,104.658,4.32677,23.9561
37.7204,104.645,4.32651,23.9943
37.7804,104.634,4.32627,24.0325
37.8404,104.624,4.32607,24.0706
37.9004,104.617,4.32593,24.1088
37.9604,104.613,4.32584,24.147
38.0204,104.608,4.32573,24.1851
38.0804,104.599,4.32556,24.2233
38.1404,104.588,4.32533,24.2615
38.2004,104.577,4.32509,24.2996
38.2604,104.567,4.32489,24.3378
38.3204,104.847,4.33068,24.376
38.3804,104.846,4.33066,24.4141
38.4404,104.843,4.33059,24.4523
38.5004,104.838,4.33048,24.4905
38.5604,104.833,4.33038,24.5286
38.6204,104.831,4.33034,24.5668
38.6804,104.83,4.33032,24.605
38.7404,104.828,4.33028,24.6431
38.8004,104.825,4.33021,24.6813
38.8604,104.823,4.33018,24.7195
38.9204,104.824,4.33019,24.7576
38.9804,104.825,4.33021,24.7958
39.0404,104.825,4.33021,24.834
39.1004,104.825,4.33022,24.8721
39.1604,104.828,4.33027,24.9103
39.2204,104.831,4.33034,24.9485
39.2804,104.834,4.33041,24.9866
39.3404,104.838,4.33048,25.0248
39.4004,104.841,4.33054,25.063
39.4604,104.842,4.33056,25.1011
39.5204,104.84,4.33053,25.1393
39.5804,104.838,4.33048,25.1775
39.6404,104.837,4.33046,25.2156
39.7004,104.836,4.33043,25.2538
39.7604,105.667,4.34757,25.292
39.8204,105.667,4.34757,25.3301
39.8804,105.667,4.34757,25.3683
39.9404,105.667,4.34757,25.4065
40.0004,105.667,4.34757,25.4446
40.0604,105.667,4.34757,25.4828
40.1204,105.667,4.34757,25.521
40.1804,105.667,4.34757,25.5591
40.2404,105.667,4.34757,25.5973
40.3004,105.667,4.34757,25.6355
40.3604,105.667,4.34757,25.6736
40.4204,105.667,4.34757,25.7118
40.4804,105.667,4.34757,25.75
40.5404,105.667,4.34757,25.7881
40.6004,105.667,4.34757,25.8263
40.6604,105.667,4.34757,25.8645
40.7204,105.667,4.34757,25.9026
40.7804,105.667,4.34757,25.9408
40.8404,105.667,4.34757,25.979
40.9004,105.667,4.34757,26.0171
40.9604,105.667,4.34757,26.0553
41.0204,105.667,4.34757,26.0935
41.0804,105.667,4.34757,26.1316
41.1404,105.667,4.34757,26.1698
41.2004,105.667,4.34757,26.208
41.2604,105.667,4.34757,26.2461
41.3204,105.667,4.34757,26.2843
41.3804,105.667,4.34757,26.3225
41.4404,105.667,4.34757,26.3606
41.5004,105.667,4.34757,26.3988
41.5604,105.667,4.34757,26.437
41.6204,105.667,4.34757,26.4751
41.6804,105.667,4.34757,26.5133
41.7404,105.667,4.34757,26.5515
