sim_time,accel_med,speed_med
18.2909,4564.270,138.2340
18.3183,4564.270,138.9580
18.3464,4564.270,141.1780
18.3723,4594.990,141.1780
18.3998,4600.220,143.2820
18.4297,4745.200,143.2820
18.4597,4745.200,143.8670
18.4895,4848.870,143.8980
18.5185,4869.980,144.4530
18.5460,4879.170,144.4530
18.5722,4879.170,144.4530
18.5989,4869.980,144.4530
18.6255,4879.170,144.4530
18.6536,4879.170,144.4530
18.6833,4879.170,144.4530
18.7127,4879.620,144.4530
18.7407,4879.620,144.4530
18.7694,4879.620,144.4530
18.7984,4879.170,144.4530
18.8278,4879.170,144.4530
18.8562,4879.620,144.4530
18.8851,4879.620,144.4530
18.9146,4879.620,143.8980
18.9432,5038.570,143.8980
18.9680,5038.570,143.8980
18.9962,5038.570,143.8980
19.0267,5038.570,144.6020
19.0562,5038.570,146.8320
19.0838,5038.570,146.8320
19.1129,5082.410,146.8320
19.1415,5082.410,146.8320
19.1689,5038.570,147.1520
19.1958,5038.570,147.7430
19.2238,5083.570,147.9780
19.2527,5084.570,147.9780
19.2804,5084.570,147.9780
19.3069,5084.570,147.9780
19.3357,5214.040,147.9780
19.3642,5214.040,147.9780
19.3921,5214.040,147.9780
19.4196,5214.040,149.6560
19.4464,5214.040,152.8020
19.4730,5214.040,155.0050
19.5007,5173.000,155.0050
19.5280,5214.040,155.0390
19.5551,5214.040,156.3910
19.5836,5214.040,157.8700
19.6096,5214.040,157.8700
19.6355,5214.040,161.1500
19.6619,5214.040,162.3900
19.6891,5250.980,162.3900
19.7172,5370.030,162.3900
19.7428,5370.030,162.3900
19.7710,5508.020,162.3900
19.7999,5508.020,162.3900
19.8272,5508.020,162.3900
19.8537,5370.030,162.3900
19.8819,5370.030,162.3900
19.9097,5370.030,162.3900
19.9367,5450.990,162.3900
19.9637,5370.030,162.3900
19.9913,5450.990,162.3900
20.0202,5450.990,162.3900
20.0450,5450.990,162.3900
20.0711,5450.990,162.3900
20.0970,5450.990,129.1270
20.1221,5450.990,128.0390
20.1461,5616.980,127.0740
20.1701,5616.980,127.0740
20.1974,5693.450,125.5940
20.2260,5711.690,125.2070
20.2548,5693.450,125.2070
20.2830,5693.450,125.2070
20.3101,5711.690,125.2070
20.3365,5711.690,125.2070
20.3648,5762.210,125.2070
20.3921,5791.750,125.2070
20.4173,6173.470,125.2070
20.4420,6173.470,125.2070
20.4685,5791.750,125.1070
20.4948,5791.750,125.1070
20.5222,5762.210,125.2070
20.5478,5693.450,125.2070
20.5725,5488.050,125.2070
20.5970,5488.050,125.2070
20.6217,5524.650,125.5940
20.6489,5524.650,125.5940
20.6771,5676.630,125.2070
20.7026,5693.450,125.2070
20.7287,5693.450,127.7300
20.7557,5693.450,127.7440
20.7804,5791.750,127.7440
20.8049,5693.450,128.0370
20.8324,5676.630,129.6430
20.8607,5676.630,129.6430
20.8887,5676.630,129.6430
20.9163,5676.630,130.1760
20.9439,5676.630,130.3300
20.9709,5659.070,130.3300
20.9975,5659.070,131.1290
21.0243,5659.070,131.1290
21.0522,5659.070,131.1290
21.0805,5676.630,131.1290
21.1066,5760.500,131.1290
21.1337,5760.500,131.1290
21.1601,5760.500,131.1290
21.1847,5742.770,131.1290
21.2086,5742.770,131.1290
21.2352,5742.770,131.1290
21.2612,5760.500,131.1290
21.2857,5760.500,131.3050
21.3104,5760.500,131.3050
21.3360,5842.480,133.3240
21.3629,5842.480,133.3880
21.3888,5876.130,133.8830
21.4140,5927.250,134.4930
21.4387,5955.770,134.4930
21.4637,6313.290,134.6780
21.4901,6336.200,134.6780
21.5139,6398.590,135.0430
21.5397,6398.590,135.0430
21.5664,6398.590,135.3520
21.5921,6336.200,135.3520
21.6143,6336.200,135.3520
21.6394,6336.200,135.3520
21.6657,6336.200,135.3600
21.6907,6313.290,137.5470
21.7142,5955.770,137.8800
21.7387,5955.770,137.8830
21.7631,6247.710,138.1380
21.7870,6251.890,139.1780
21.8113,6247.710,139.1780
21.8360,6247.710,139.1780
21.8600,6251.890,139.1780
21.8841,6336.200,139.1780
21.9106,6336.200,138.1380
21.9374,6398.590,138.1380
21.9642,6588.050,138.1380
21.9922,6588.050,138.1380
22.0200,6588.050,138.1380
22.0468,6588.050,139.7190
22.0737,6588.050,139.7190
22.1007,6398.590,138.1380
22.1274,6398.590,138.0840
22.1527,6398.590,138.0840
22.1780,6251.890,138.0840
22.2035,6247.710,138.0840
22.2289,6100.210,138.0840
22.2535,5770.110,138.0840
22.2759,5754.640,138.0840
22.2996,5665.250,138.0840
22.3231,5754.640,138.0840
22.3460,5770.110,138.0840
22.3696,5797.820,138.0840
22.3924,6100.210,138.0840
22.4181,6186.790,138.0840
22.4451,6186.790,138.0840
22.4719,6186.790,138.0840
22.4978,6186.790,138.0840
22.5224,6186.790,137.6540
22.5505,6186.790,137.5960
22.5776,6186.790,137.2160
22.6044,6186.790,137.2160
22.6312,6186.790,137.2160
22.6581,6186.790,137.2160
22.6849,6186.790,137.5960
22.7113,6178.150,137.6060
22.7372,6178.150,137.6540
22.7625,6137.560,137.6540
22.7879,6022.480,137.6540
22.8123,6022.480,137.6060
22.8372,6022.480,137.2160
22.8625,6022.480,136.6150
22.8883,6137.560,137.2160
22.9149,6137.560,137.6060
22.9396,6022.480,138.5000
22.9641,6022.480,138.5000
22.9890,6137.560,138.5000
23.0142,6178.150,139.6940
23.0387,6179.550,139.6940
23.0645,6186.790,139.7720
23.0905,6186.790,140.3210
23.1155,6186.790,141.1660
23.1404,6186.790,141.1660
23.1674,6309.480,141.1660
23.1917,6309.480,141.1660
23.2172,6219.120,141.1660
23.2434,6179.550,141.1660
23.2695,6179.550,142.4720
23.2945,6179.550,142.4720
23.3204,6219.120,143.8040
23.3466,6219.120,143.8040
23.3725,6219.120,145.8990
23.3972,6268.220,145.9090
23.4198,6268.220,145.9090
23.4450,6268.220,145.9090
23.4706,6268.220,145.9090
23.4956,6301.710,145.9090
23.5197,6301.710,145.9090
23.5441,6309.480,145.9090
23.5695,6312.100,145.9090
23.5968,6309.480,145.9090
23.6238,6312.100,145.9090
23.6499,6312.100,145.9090
23.6760,6309.480,145.9090
23.7012,6301.710,145.9090
23.7263,6309.480,145.9090
23.7511,6312.100,145.9090
23.7758,6312.100,145.8990
23.8010,6309.480,141.9050
23.8251,6309.480,133.4140
23.8483,6312.100,128.2790
23.8712,6312.100,128.2790
23.8947,6301.710,128.2790
23.9199,6272.190,128.2790
23.9436,6272.190,128.2790
23.9695,6301.710,128.2790
23.9953,6301.710,128.2790
24.0204,6301.710,128.2790
24.0456,6301.710,128.2790
24.0712,6312.100,128.2790
24.0948,6312.100,128.2790
24.1181,6312.100,128.2790
24.1425,6312.100,128.2790
24.1691,6397.910,128.2790
24.1933,6397.910,128.2790
24.2174,6312.100,128.2790
24.2427,6312.100,131.1750
24.2691,6312.100,131.2520
24.2947,6397.910,131.2890
24.3159,6529.140,132.1260
24.3393,6529.140,132.1260
24.3647,6580.170,132.6870
24.3911,6580.170,132.7900
24.4169,6580.170,132.8700
24.4396,6580.170,132.8900
24.4628,6580.170,133.1880
24.4867,6552.050,133.4090
24.5112,6529.140,133.5360
24.5352,6529.140,133.7060
24.5605,6529.140,133.7060
24.5867,6529.140,133.8410
24.6121,6529.140,133.9920
24.6364,6529.140,133.9920
24.6608,6529.140,133.9920
24.6856,6529.140,133.9920
24.7092,6529.140,133.9920
24.7331,6529.140,138.6530
24.7579,6529.140,138.8580
24.7830,6529.140,138.8580
24.8103,6529.140,139.5160
24.8350,6351.230,139.6690
24.8603,6351.230,139.8880
24.8859,6351.230,139.9000
24.9115,6351.230,140.2140
24.9372,6351.230,140.2140
24.9605,6351.230,140.3300
24.9848,6351.230,140.3300
25.0102,6351.230,140.3300
25.0361,6351.230,140.4550
25.0617,6351.230,142.1300
25.0848,6351.230,142.1300
25.1066,6347.630,142.1300
25.1299,6313.610,142.1300
25.1556,6347.630,142.1300
25.1819,6351.230,142.7920
25.2070,6351.230,142.7920
25.2312,6347.630,142.7920
25.2555,6351.230,142.7920
25.2800,6424.940,142.1300
25.3035,6511.820,142.1300
25.3297,6601.070,142.1300
25.3556,6601.070,142.7920
25.3805,6511.820,142.7920
25.4045,6812.110,143.3280
25.4288,6812.110,143.3280
25.4525,6812.110,143.3280
25.4773,6812.110,143.3280
25.5025,6511.820,143.3280
25.5274,6511.820,143.7230
25.5507,6812.110,143.7230
25.5779,6812.110,143.7230
25.6040,6972.730,143.7230
25.6282,6972.730,143.7230
25.6525,7041.140,143.7230
25.6770,6972.730,142.9350
25.7002,6812.110,142.9350
25.7234,6812.110,142.9350
25.7487,6972.730,142.9350
25.7737,7041.140,143.7230
25.7979,7041.140,143.7390
25.8231,7041.140,143.7510
25.8459,7041.140,143.7510
25.8721,7156.040,144.3150
25.8983,7169.030,144.3740
25.9228,7169.030,145.6010
25.9454,7169.030,145.6010
25.9685,7227.560,145.7130
