sim_time,front_x,Z,T,cohesion,viscosity,tension
12.2462,105.667,4.34757,7.7899,0,3.14,0
12.3062,105.667,4.34757,7.82807,0,3.14,0
12.3662,105.667,4.34757,7.86623,0,3.14,0
12.4262,105.667,4.34757,7.9044,0,3.14,0
12.4862,105.667,4.34757,7.94257,0,3.14,0
12.5462,105.667,4.34757,7.98073,0,3.14,0
12.6062,105.667,4.34757,8.0189,0,3.14,0
12.6662,105.667,4.34757,8.05707,0,3.14,0
12.7262,105.667,4.34757,8.09523,0,3.14,0
12.7862,105.667,4.34757,8.1334,0,3.14,0
12.8462,105.667,4.34757,8.17157,0,3.14,0
12.9062,105.667,4.34757,8.20973,0,3.14,0
12.9662,105.667,4.34757,8.2479,0,3.14,0
13.0262,105.667,4.34757,8.28606,0,3.14,0
13.0862,105.667,4.34757,8.32423,0,3.14,0
13.1462,105.667,4.34757,8.3624,0,3.14,0
13.2062,105.667,4.34757,8.40056,0,3.14,0
13.2662,105.667,4.34757,8.43873,0,3.14,0
13.3262,105.667,4.34757,8.4769,0,3.14,0
13.3862,105.667,4.34757,8.51506,0,3.14,0
13.4462,105.667,4.34757,8.55323,0,3.14,0
13.5062,105.667,4.34757,8.5914,0,3.14,0
13.5662,105.667,4.34757,8.62956,0,3.14,0
13.6262,105.667,4.34757,8.66773,0,3.14,0
13.6862,105.667,4.34757,8.7059,0,3.14,0
13.7462,105.667,4.34757,8.74406,0,3.14,0
13.8062,105.667,4.34757,8.78223,0,3.14,0
13.8662,105.667,4.34757,8.8204,0,3.14,0
13.9262,105.667,4.34757,8.85856,0,3.14,0
13.9862,105.667,4.34757,8.89673,0,3.14,0
14.0462,105.667,4.34757,8.93489,0,3.14,0
14.1062,105.667,4.34757,8.97306,0,3.14,0
14.1662,105.667,4.34757,9.01123,0,3.14,0
14.2262,105.667,4.34757,9.04939,0,3.14,0
14.2862,105.667,4.34757,9.08756,0,3.14,0
14.3462,105.667,4.34757,9.12573,0,3.14,0
14.4062,105.667,4.34757,9.16389,0,3.14,0
14.4662,105.667,4.34757,9.20206,0,3.14,0
